qid	rank	docid	score
S05	3	y87put	4.6313
S05	4	xwg5gb	3.9544
S05	5	yfcsz4	3.8748
S05	6	ys900j	3.7249
S05	7	y6h0an	3.5462
S05	8	y492ll	3.4612
S05	9	yrv4r3	3.4453
S05	10	y44gdn	3.4421
S06	1	ydyrol	4.2000
S06	2	ydyzlk	4.1704
S06	3	z31mex	4.0014
S06	4	ymh0eu	2.7295
S06	5	y93ejl	2.4577
S06	6	yifq4v	0.9970
S06	7	yeu0gd	0.9825
S06	8	y2ah1q	0.9763
S06	9	z6pfsr	0.9686
S06	10	y143gk	0.9672
S07	1	ylyk3x	5.5003
S07	2	ye61f1	5.0387
S07	3	yaes8x	4.8086
S07	4	z2y1jq	4.3126
S07	5	ydew7e	4.1017
S07	6	ykjv60	3.4912
S07	7	y5lwsv	3.3372
S07	8	z1xuh9	3.3220
S07	9	yc80qs	3.1310
S07	10	yxl3j0	3.1310
S08	1	y5nyxp	4.7943
S08	2	y5nzug	4.7943
S08	3	y5o3xk	4.7608
S08	4	yzomfj	4.5563
S08	5	y15kvo	4.0658
S08	6	yj6xv0	3.8679
S08	7	z5ea8e	3.8500
S08	8	yc6p4k	3.8337
S08	9	yl9vya	3.8326
S08	10	yl9wz5	3.8326
S09	1	z3l4qt	5.4604
S09	2	yj88cm	5.2908
S09	3	yj8a30	5.2908
S09	4	yj8sze	5.2908
S09	5	yj8tdq	5.2908
S09	6	yj8ufw	5.2908
S09	7	ykm9qr	4.7315
S09	8	z6s597	4.5770
S09	9	yp3u92	3.5980
S09	10	yoqlba	3.5310
S10	1	xzt5h1	3.5631
S10	2	y8on8s	3.4894
S10	3	ykf4nk	3.4894
S10	4	y9btgi	3.4655
S10	5	y9eeyj	3.4655
S10	6	xza65c	3.4187
S10	7	z6nzeg	3.3958
S10	8	z0wnu8	3.3731
S10	9	z85ijm	3.3070
S10	10	yi7gw1	3.2435
